Street Name	Record Count	Years	Amendment	Notes
1 HICKS ALBERT	29	1971		
1 ROWAN J. & SON	32	1971		
15 FORD GEO & SONS	32	1971		
159A-160	66	1936		Investigate
23-23A	8	1927		Investigate
35-35A	140	1927; 1936		Investigate
5 & 6 WEIGHT GEORGE	11	1971		
7/8 JUNCTION MOTORS	4	1971		
Abbey Road	65	1946; 1950; 1971		
ABERTHAW AVENUE	12	1971		
ABERTHAW CIRCLE	52	1971		
Aberthaw Road	240	1897; 1905; 1914; 1938; 1946; 1950; 1971		
Acacia Avenue	185	1927; 1933; 1936; 1938; 1946; 1950; 1971		
Acacia Square	87	1927; 1933; 1936; 1938; 1946; 1950; 1971		
ACACIA-AVENUE	4	1927		
ADAM STREET	51	1927		
Adelaide Street	210	1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Adeline Street	640	1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
ADRIAN BOULT GRN	26	1971		
Agincourt Street	415	1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Ailesbury Street	418	1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
ALANBROOKE AV	59	1971		
Albany Chambers	4	1905; 1938; 1946; 1971		
Albany Road	1	1905		Street is now St Vincent's Road. Add marker to St Vincent Road to indicate it used to be Albany Road.
Albany Street	514	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Albany Terrace	49	1914; 1927; 1933; 1936		
Albert Avenue	868	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Albert Hall Chambers	1	1886		
Albert Place	6	1876		
Albert Street	165	1876; 1878; 1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Albert Terrace	205	1876; 1878; 1897; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Albion Chambers	4	1886; 1905; 1938; 1946		
ALBION CHAMBERS—	2	1927		
Albion Street	384	1876; 1878; 1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
ALDER GROVE	13	1971		
Alderney Street	84	1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alexandra Docks	386	1878; 1897; 1905; 1914; 1927; 1936; 1938; 1946; 1950; 1971		
Alexandra Road	1124	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alexandra School	31	1927		
Alfred Street	150	1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alice Street	549	1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
ALLEN CLOSE	15	1971		
ALLT-YR-YN	48	1971		
Allt-Yr-Yn Avenue	512	1927; 1933; 1936; 1938; 1946; 1950		
Allt-Yr-Yn Close	368	1933; 1936; 1938; 1946; 1950; 1971		
ALLT-YR-YN COURT	20	1971		
ALLT-YR-YN Crescent	57	1971		
ALLT-YR-YN HOSPITAL	30	1936		
Allt-Yr-Yn Road	547	1933; 1936; 1938; 1946; 1950; 1971		
Allt-Yr-Yn View	298	1936; 1938; 1946; 1950; 1971		
ALLT-YR-YN WAY	11	1971		
ALMA ST. BAPTIST CHURCH	74	1927		
Alma Street	1218	1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alma Street (Upper)	4	1876		
ALMOND DRIVE	45	1971		
Alteryn	110	1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
Alteryn Road	18	1897; 1914		
Alway Avenue	19	1946		
Alway Close	37	1946; 1950; 1971		
Alway Crescent	59	1946; 1950		
ALWAY PARADE	12	1971		
ANDERSON PLACE	59	1971		
Annesley Road	419	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
ANSON GREEN	106	1971		
ANSSESY ROAD	25	1971		
Aragon Street	76	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Arcade (Market)	107	1876; 1878; 1886; 1914; 1933; 1946; 1950		
Arcade (Newport)	54	1897; 1905; 1914; 1933; 1938; 1946; 1950		
Arcade Chambers	52	1876; 1878; 1927; 1933		
Arcades	79	1905; 1936; 1938		
Arcadia Terrace	39	1927; 1933		
ARCH ENGINEER	9	1971		
Archibald Street	658	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Argyle Street	310	1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Argyll Street	15	1897		
Arlington Chambers	3	1905; 1938; 1946		
ARLINGTON CLOSE	21	1971		
Arlington Street	33	1897		
