Street Name	Record Count	Years	Amendment	Notes
Arthur Bliss Road	42	1971	Arthur Bliss Road	
Arthur Street	364	1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Artillery Place	230	1893; 1897; 1898; 1899; 1902; 1903; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1971		
Arundel Road	239	1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Ashley Road	102	1933; 1936; 1938; 1946; 1950; 1971		
Aspen Way	32	1971	Aspen Way	
Aston Crescent	536	1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Athletic Club's Office	21	1927	Athletic Club's Office	Investigae
Auckland Road	14	1971		
Auckland Terrace	90	1893; 1894; 1898; 1899; 1903; 1905; 1938; 1946		
Auckland Villas	23	1886; 1905; 1910; 1933; 1938; 1946		
Austin Friars	51	1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1971		
Austin Friars Chambers	2	1938; 1946		
Austin Place	31	1893; 1894		
Austin Road	64	1897; 1898; 1899		
Avon Close	22	1971		
Bachelor Road	31	1894; 1971	Bachelor Road	
Bachelor-road	11	1910		
Bacon Place	19	1971		
Badminton Road	175	1936; 1938; 1946; 1950; 1971		
Bailey Street	914	1876; 1878; 1887; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Baird Close	68	1971	Baird Close	
Baldwin Street	982	1878; 1886; 1887; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Baldwin-street	55	1910		
Balfe Road	22	1971	Balfe Road	
Balmoral Road	695	1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Baltic Wharf	2	1933		
Baneswell	69	1876; 1886; 1887; 1894; 1903; 1905; 1946		
Baneswell Chambers	2	1938; 1946		
Baneswell Road	400	1876; 1878; 1887; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Baneswell Square	39	1893; 1894; 1897; 1898; 1902; 1903		
Bank chambers	15	1876; 1886; 1905; 1938; 1946		
Bank Street	201	1897; 1898; 1902; 1903; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950		
Baptist Chapel	95	1890; 1927	Baptist Chapel	Investigate
Baptist Temple	7	1890		
Barnard Street	224	1886; 1897; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Barnard Town	158	1887; 1893; 1894; 1898; 1902		
Barnard Town School	109	1927	Barnard Town School	
Barrack Hill	1193	1876; 1878; 1886; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Barrack Lane	59	1878; 1886; 1927; 1933		
Barrack-hill to Hopefield	31	1910		
Barrack-hill to Queen’s-hill	17	1910		
Barrie Gardens	6	1971	Barrie Gardens	
Barthropp Street	212	1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bassaleg Road	426	1950; 1971		
Bassalleg Road	770	1890; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946		
Batchelor Road	176	1894; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
Bath Street	431	1886; 1890; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Beattie George	37	1971		Invesigate
Beatty Road	74	1971	Beatty Road	
Beaufort	2	1927		Invesigate
Beaufort Chambers	1	1905		
Beaufort Place	114	1938; 1946; 1950; 1971		
Beaufort Road	131	1936; 1938; 1946; 1950; 1971		
Beaufort Terrace	310	1887; 1893; 1894; 1898; 1933; 1936; 1971		
Beaufort Wharf	11	1876		
Bedford Road	577	1897; 1898; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Beecham Street	14	1946; 1950; 1971		
Beechcroft Road	220	1936; 1938; 1946; 1950; 1971		
Beechdale Road	249	1933; 1936; 1938; 1946; 1950; 1971		
Beechfield Av	30	1971		
Beechfield Avenue	44	1946; 1950		
Beechwood Crescent	166	1933; 1936; 1938; 1946; 1950		
Beechwood Park	66	1910; 1927	Beechwood Park	
Beechwood PUBLIC PARK	8	1910		
Beechwood Road	270	1894; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Beer John	14	1910		
Belgave Place	433	1890; 1893; 1894; 1898		
bella-terrace	17	1910		
Belle Vue court	1	1910		
Belle Vue Lane	6	1886; 1898; 1902; 1927		
Belle Vue Terrace	111	1890; 1893; 1894; 1899; 1902; 1903; 1910; 1933		
Belvedere Terrace	572	1876; 1878; 1890; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Belvidere Terrace	10	1886		
Ben Jonson Way	15	1950; 1971		
Benbow Road	21	1971	Benbow Road	
Bereford Road	6	1927		
Beresford Road	62	1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bessemer Close	54	1971	Bessemer Close	
Bettws Close	13	1971	Bettws Close	
Bettws Hill	13	1971	Bettws Hill	
Bettws Lane	19	1938; 1946; 1950; 1971		
Bilston Street	184	1899; 1902; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Bilton Street	34	1903		
Birch Hill	37	1971	Birch Hill	
Birchgrove Close	16	1971	Birchgrove Close	
Bisbool Lane	48	1971		
Bishop	1	1927		
Bishop Street	694	1878; 1890; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Bishopgate Parade	142	1876; 1878; 1886; 1893; 1894; 1897; 1899; 1903; 1905; 1914		
Bishopsgate Parade	128	1898; 1902; 1927		
Bishopstow	3	1946		
Bishpool	155	1950		
Bishpool Lane	132	1950		
Bishton Street	856	1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Blackett Avenue	237	1950; 1971		
Blaen-y-pant Avenue	65	1936; 1938; 1946; 1950		
Blaen-Y-Pant Cottages	2	1938		
Blaen-Y-Pant Crescent	35	1938; 1946; 1950		
Blaen-Y-Pant Place	37	1938; 1946; 1950		
Blake Road	50	1938; 1946; 1950; 1971		
Blake Street	78	1902		
Bleinheim Road	44	1971		
Blenheim Road	230	1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Blewit Street	46	1894		
Blewitt Street	952	1876; 1878; 1890; 1893; 1894; 1897; 1899; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Blewitt Terrace	261	1876; 1878; 1886; 1893; 1894; 1898; 1899; 1902		
Boilermakers' Institute	12	1910		
Bolt Street	461	1876; 1878; 1897; 1898; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bolt Street Schools	93	1910; 1927		
Bolton Place	3	1876		
Bolton Road	350	1893; 1894; 1897; 1898; 1902; 1903; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bolton Street	57	1893; 1894; 1897; 1898; 1902; 1903; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bolton Terrace	43	1878; 1893; 1894; 1910; 1933		
Bond Street	380	1894; 1897; 1898; 1902; 1903; 1905; 1910; 1914; 1927; 1933; 1938; 1946; 1950; 1971		
Borough Chambers	4	1905; 1933; 1938; 1946		
Boswell Close	13	1971	Boswell Close	
Boundary Road	7	1897		
Boyle Close	13	1950; 1971		
Brain Close	27	1971		Investigate
Branch Reading Room	8	1910		
Brangwyn Crescent	51	1971	Brangwyn Crescent	
Bream Place	265	1886; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Brecon Road	77	1927; 1933; 1936; 1938; 1946; 1950; 1971		
Brickyard Road	301	1894; 1898; 1899; 1902; 1903; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Bridge (The)	3	1876		
Bridge Street	2098	1876; 1878; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Bristol Street	685	1886; 1897; 1898; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
Britannia Buildings	2	1886; 1933		
Broad Street	103	1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950		
Broadwell Gardens	18	1910		
Broadwood Close	26	1971	Broadwood Close	
Brodawel Gardens	199	1890; 1893; 1894; 1898; 1899		
Brodawell Gardens	100	1898; 1899; 1903		
Bronte Grove	20	1971	Bronte Grove	
Brookfield Close	25	1971	Brookfield Close	
Broseley Terrace	137	1886; 1890; 1893; 1894		
Brown's Buildings	10	1933		
Browning Close	19	1971	Browning Close	
Brunel Road	17	1910		
Brunel Street	124	1914; 1933; 1936; 1938; 1946; 1950; 1971		
Brunel Street. B 4 36	20	1927		
Bryinglas Avenue	14	1927		
Bryinglas Crescent	16	1927		
Bryinglas Road	50	1927		
Brynderwen Gro	14	1971		
Brynderwen Grove	26	1938; 1946; 1950		
Brynderwen Road	320	1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Brynderwyn Road	12	1897		Did the spelling change?
Bryngjas Road	19	1898		
Brynglas Avenue	364	1933; 1936; 1938; 1946; 1950; 1971		
