Street Name	Record Count	Years	Amendment	Notes
Auckland Villas	17	1886; 1905; 1933; 1938; 1946		
Austin Friars	55	1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1971		
Austin Friars Chambers	2	1938; 1946		
Austin Place	39	1893; 1894		
Austin Road	68	1897; 1898; 1899		
Avon Close	22	1971		
Bachelor Road	33	1894; 1971	Bachelor Road	
Bacon Place	20	1971		
Badminton Road	181	1936; 1938; 1946; 1950; 1971		
Bailey Street	930	1876; 1878; 1887; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Baird Close	73	1971	Baird Close	
Baldwin Street	983	1878; 1886; 1887; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Balfe Road	23	1971	Balfe Road	
Balmoral Road	698	1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Baltic Wharf	2	1933		
Baneswell	69	1876; 1886; 1887; 1894; 1903; 1905; 1946		
Baneswell Chambers	2	1938; 1946		
Baneswell Road	410	1876; 1878; 1887; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Baneswell Square	40	1893; 1894; 1897; 1898; 1902; 1903		
Bank chambers	15	1876; 1886; 1905; 1938; 1946		
Bank Street	189	1897; 1898; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
Baptist Chapel	97	1890; 1927	Baptist Chapel	Investigate
Baptist Temple	7	1890		
Barnard Street	207	1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Barnard Town	162	1887; 1893; 1894; 1898; 1902; 1903		
Barnard Town School	109	1927	Barnard Town School	
Barrack Hill	1240	1876; 1878; 1886; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Barrack Lane	59	1878; 1886; 1927; 1933		
Barrie Gardens	7	1971	Barrie Gardens	
Barthropp Street	220	1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Bassaleg Road	428	1950; 1971		
Bassalleg Road	783	1890; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946		
Batchelor Road	176	1894; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
Bath Street	458	1886; 1890; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Beattie George	37	1971		Invesigate
Beatty Road	76	1971	Beatty Road	
Beaufort	2	1927		Invesigate
